	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
123	24823	23029	20981	22954	21973	25092	23371	0	22947	9901	23709	33654	40269	15890	20760	0	0	13728	25716	24385	7791	0	0	17423	0	0	17231	19169	20817	17268	19964.5	16429.3666666667	10991.2513594734	41.8612193798914	5.32389689909582e-09	4.03551384951463e-06	3.28090556871108e-08
124	65315	69208	63205	62883	65313	75522	45288	0	0	0	43021	60301	82689	35915	41261	0	0	0	69920	62003	0	0	0	54706	0	0	32501	37607	56202	33798	39434	35221.9333333333	29724.0799746641	41.7269205055154	5.5013554468156e-09	4.17002742868623e-06	3.3629253457147e-08
125	252148	227256	198754	222938	218487	260840	213039	0	242727	0	181344	287894	397657	137945	205268	0	178523	0	254744	234586	0	0	0	171346	0	0	150244	177611	215854	148006	179933.5	152573.7	112184.977346422	41.6123159570216	5.65781761945511e-09	4.28862575554697e-06	3.43090060443758e-08
126	17293	13815	13143	14220	12750	15698	12221	6157	12443	2972	10004	12724	18717	11698	5721	0	6545	5805	13180	14138	0	2193	0	13859	1281	0	6942	7733	15122	6674	10851	9101.6	5727.51133655315	41.4700645265062	5.85870382123558e-09	4.44089749649657e-06	3.52452182261633e-08
127	36648	30977	28534	32720	41499	27372	27678	10058	26050	8914	22993	38504	39004	12987	22261	10755	12741	12613	38771	28591	6489	8554	9264	23313	0	9523	31251	19514	30544	30373	24681.5	22616.5	11658.3470341625	41.3051031930137	6.10129996284799e-09	4.62478537183877e-06	3.64156328491242e-08
128	24691	22174	20250	21817	20968	25444	20809	0	23200	0	0	32655	39256	16542	20528	0	0	0	26402	23167	0	0	0	17328	0	0	16890	17920	20859	16474	17624	14245.8	11900.0769351324	41.0746811083348	6.45839471477151e-09	4.89546319379681e-06	3.82458062015375e-08
129	9826	12231	11022	7246	12006	11931	3560	0	6130	0	0	0	9506	6753	3345	0	0	0	10199	6362	0	0	0	0	0	0	0	0	7404	0	0	3917.36666666667	4708.67510821384	40.9661806721501	6.63425901210666e-09	5.02876833117685e-06	3.8982700241681e-08
130	17293	13815	13143	14220	12750	15698	12221	6153	12443	2972	10004	12724	20291	11698	5721	0	5404	5805	13180	14138	0	0	0	14526	0	0	6942	7733	15122	6674	10851	9022.33333333333	6030.45157189074	39.9020482739042	8.65912525605412e-09	6.56361694408902e-06	5.04893611083771e-08
131	121512	114290	105216	88302	105022	121796	63283	0	86654	0	69932	92226	182281	0	94342	0	0	0	119929	102117	0	0	0	97510	0	0	63421	51984	102971	62984	66676.5	61525.7333333333	53060.3420943346	39.8384198286177	8.79961987107262e-09	6.67011186227305e-06	5.09168844448324e-08
132	158872	138599	131559	137046	123053	153352	107143	0	0	0	100725	146118	201469	80959	86476	0	0	0	156346	118780	0	0	0	123453	0	0	88267	85967	136147	87983	88125	78743.8	65923.2330870405	39.7231709486718	9.06036742483429e-09	6.86775850802439e-06	5.20284735456393e-08
133	37580	55933	47946	43410	51968	40186	13405	0	0	0	8760	14029	0	0	14728	0	0	0	62425	45749	0	0	0	0	0	0	0	9937	30822	24277	4380	16705.1666666667	21144.6872614626	39.4502878850651	9.71143657689108e-09	7.36126892528344e-06	5.53478866562664e-08
134	46802	43986	39753	40680	42658	49253	39863	14114	44055	11915	41477	60731	72782	28923	39097	14769	12342	16123	48166	43296	9871	11984	11948	32472	9492	12405	30230	34552	39729	29303	36824.5	32425.7	16668.1876311402	39.3673210401136	9.91921429356093e-09	7.51876443451919e-06	5.61101823471581e-08
135	53332	52978	48845	49439	58494	58845	48371	22579	50977	20318	48389	70672	84742	31023	45086	0	21451	28135	57827	51400	0	0	0	37649	0	0	38991	40036	46511	38337	42561	36814.2333333333	23112.4589400181	38.9100460810623	1.11534587064946e-08	8.45432169952292e-06	6.26246051816513e-08
136	34517	33418	29936	31725	31700	36958	29320	0	32689	12229	30977	44593	53631	21245	27492	0	12725	17493	36653	33385	9531	0	0	24842	8878	0	21659	24810	29329	21664	26167	23046.6333333333	14243.4605478501	38.6500785294097	1.19278954475396e-08	9.04134474923502e-06	6.64045722888447e-08
137	112621	107586	82446	101330	110043	126606	64628	0	73197	0	85531	125060	145152	57524	67300	0	61868	0	126645	105258	45072	0	0	77637	0	0	52622	67100	93051	51948	67200	64674.1666666667	46613.0078434405	38.6261967835467	1.20018817989073e-08	9.09742640357173e-06	6.64045722888447e-08
138	25164	24803	22215	21945	24417	30743	0	0	0	0	7949	9329	0	0	10553	0	0	0	12781	18707	0	0	0	0	16	0	122	6297	23397	95	55.5	7951.1	10553.9853572331	38.399728252115	1.2728500451141e-08	9.64820334196491e-06	6.98755484880518e-08
